Wavelength,PLANKC_2100
1.3409E+03,1.8421E-04
1.3406E+03,1.5932E-04
1.3403E+03,1.4856E-04
1.3400E+03,1.5293E-04
1.3397E+03,1.7202E-04
1.3394E+03,2.0397E-04
1.3391E+03,2.4570E-04
1.3388E+03,2.9320E-04
1.3385E+03,3.4190E-04
1.3382E+03,3.8712E-04
1.3379E+03,4.2452E-04
1.3376E+03,4.5053E-04
1.3373E+03,4.6265E-04
1.3370E+03,4.5973E-04
1.3367E+03,4.4207E-04
1.3364E+03,4.1139E-04
1.3361E+03,3.7064E-04
1.3358E+03,3.2377E-04
1.3355E+03,2.7528E-04
1.3352E+03,2.2986E-04
1.3349E+03,1.9186E-04
1.3346E+03,1.6495E-04
1.3343E+03,1.5172E-04
1.3340E+03,1.5344E-04
1.3337E+03,1.6993E-04
1.3334E+03,1.9963E-04
1.3333E+03,3.0697E-04
1.3331E+03,2.3967E-04
1.3328E+03,2.8621E-04
1.3325E+03,3.3478E-04
1.3322E+03,3.8073E-04
1.3319E+03,4.1966E-04
1.3316E+03,4.4785E-04
1.3313E+03,4.6261E-04
1.3311E+03,4.6255E-04
1.3308E+03,4.4771E-04
1.3305E+03,4.1955E-04
1.3302E+03,3.8082E-04
1.3299E+03,3.3526E-04
1.3296E+03,2.8730E-04
1.3293E+03,2.4157E-04
1.3290E+03,2.0249E-04
1.3287E+03,1.7386E-04
1.3284E+03,1.5843E-04
1.3281E+03,1.5772E-04
1.3278E+03,1.7180E-04
1.3275E+03,1.9934E-04
1.3272E+03,2.3770E-04
1.3269E+03,2.8320E-04
1.3266E+03,3.3147E-04
1.3263E+03,3.7789E-04
1.3260E+03,4.1798E-04
1.3257E+03,4.4790E-04
1.3254E+03,4.6477E-04
1.3252E+03,4.6696E-04
1.3249E+03,4.5424E-04
1.3246E+03,4.2782E-04
1.3245E+03,3.1460E-04
1.3243E+03,3.9019E-04
1.3240E+03,3.4493E-04
1.3237E+03,2.9635E-04
1.3234E+03,2.4903E-04
1.3231E+03,2.0745E-04
1.3228E+03,1.7551E-04
1.3225E+03,1.5617E-04
1.3222E+03,1.5118E-04
1.3219E+03,1.6088E-04
1.3216E+03,1.8422E-04
1.3213E+03,2.1880E-04
1.3211E+03,2.6117E-04
1.3208E+03,3.0710E-04
1.3205E+03,3.5203E-04
1.3202E+03,3.9151E-04
1.3199E+03,4.2159E-04
1.3196E+03,4.3926E-04
1.3193E+03,4.4267E-04
1.3190E+03,4.3137E-04
1.3187E+03,4.0633E-04
1.3184E+03,3.6981E-04
1.3181E+03,3.2520E-04
1.3179E+03,2.7667E-04
1.3176E+03,2.2875E-04
1.3173E+03,1.8591E-04
1.3170E+03,1.5213E-04
1.3167E+03,1.3052E-04
1.3164E+03,1.2302E-04
1.3161E+03,1.3018E-04
1.3158E+03,1.5118E-04
1.3158E+03,2.7291E-04
1.3155E+03,1.8384E-04
1.3152E+03,2.2486E-04
1.3150E+03,2.7014E-04
1.3147E+03,3.1517E-04
1.3144E+03,3.5547E-04
1.3141E+03,3.8700E-04
1.3138E+03,4.0659E-04
1.3135E+03,4.1219E-04
1.3132E+03,4.0312E-04
1.3129E+03,3.8009E-04
1.3126E+03,3.4517E-04
1.3124E+03,3.0157E-04
1.3121E+03,2.5332E-04
1.3118E+03,2.0490E-04
1.3115E+03,1.6081E-04
1.3112E+03,1.2512E-04
1.3109E+03,1.0111E-04
1.3106E+03,9.0903E-05
1.3103E+03,9.5319E-05
1.3101E+03,1.1376E-04
1.3098E+03,1.4429E-04
1.3095E+03,1.8380E-04
1.3092E+03,2.2834E-04
1.3089E+03,2.7344E-04
1.3086E+03,3.1464E-04
1.3083E+03,3.4781E-04
1.3081E+03,3.6963E-04
1.3078E+03,3.7786E-04
1.3075E+03,3.7157E-04
1.3072E+03,3.5125E-04
1.3072E+03,2.2263E-04
1.3069E+03,3.1873E-04
1.3066E+03,2.7703E-04
1.3063E+03,2.3002E-04
1.3061E+03,1.8213E-04
1.3058E+03,1.3784E-04
1.3055E+03,1.0131E-04
1.3052E+03,7.5941E-05
1.3049E+03,6.4057E-05
1.3046E+03,6.6697E-05
1.3043E+03,8.3501E-05
1.3041E+03,1.1275E-04
1.3038E+03,1.5153E-04
1.3035E+03,1.9601E-04
1.3032E+03,2.4181E-04
1.3029E+03,2.8445E-04
1.3026E+03,3.1972E-04
1.3024E+03,3.4416E-04
1.3021E+03,3.5533E-04
1.3018E+03,3.5207E-04
1.3015E+03,3.3461E-04
1.3012E+03,3.0455E-04
1.3009E+03,2.6471E-04
1.3007E+03,2.1881E-04
1.3004E+03,1.7121E-04
1.3001E+03,1.2637E-04
1.2998E+03,8.8530E-05
1.2995E+03,6.1223E-05
1.2992E+03,4.6981E-05
1.2990E+03,4.7074E-05
1.2987E+03,1.9397E-04
1.2903E+03,1.6663E-04
1.2821E+03,1.5550E-04
1.2739E+03,1.6309E-04
1.2658E+03,1.8050E-04
1.2579E+03,2.1277E-04
1.2500E+03,2.6870E-04
1.2422E+03,3.0616E-04
1.2346E+03,3.3924E-04
1.2270E+03,3.2322E-04
1.2195E+03,2.4703E-04
1.2121E+03,1.9099E-04
1.2048E+03,1.6140E-04
1.1976E+03,1.2051E-04
1.1905E+03,8.6460E-05
1.1834E+03,7.1615E-05
1.1765E+03,6.5782E-05
1.1696E+03,6.0400E-05
1.1628E+03,4.9764E-05
1.1561E+03,3.7128E-05
1.1494E+03,2.6657E-05
1.1429E+03,1.7780E-05
1.1364E+03,1.2460E-05
1.1299E+03,1.0415E-05
1.1236E+03,1.1067E-05
1.1173E+03,1.2312E-05
1.1111E+03,1.1052E-05
1.1050E+03,7.6674E-06
1.0989E+03,4.8225E-06
1.0929E+03,2.8613E-06
1.0870E+03,2.0998E-06
1.0811E+03,2.2621E-06
1.0753E+03,1.6905E-06
1.0695E+03,1.0890E-06
1.0638E+03,8.9264E-07
1.0582E+03,7.2484E-07
1.0526E+03,3.7690E-07
1.0471E+03,3.0063E-07
1.0417E+03,3.8794E-07
1.0363E+03,3.9225E-07
1.0309E+03,3.1850E-07
1.0256E+03,3.8589E-07
1.0204E+03,4.2758E-07
1.0152E+03,3.5101E-07
1.0101E+03,3.1876E-07
1.0050E+03,4.3307E-07
1.0000E+03,1.2777E-08
9.9502E+02,1.5037E-08
9.9010E+02,1.3026E-08
9.8522E+02,1.2501E-08
9.8039E+02,1.3913E-08
9.7561E+02,8.0678E-09
