Wavelength,PLANCK_850
9.9503E+02,1.5131E-01
9.9336E+02,1.6347E-01
9.9170E+02,1.7304E-01
9.9005E+02,1.9381E-01
9.8840E+02,2.4656E-01
9.8675E+02,3.0886E-01
9.8511E+02,3.3719E-01
9.8348E+02,3.7743E-01
9.8185E+02,3.9909E-01
9.8023E+02,4.2610E-01
9.7861E+02,4.5675E-01
9.7700E+02,4.8839E-01
9.7539E+02,4.7811E-01
9.7379E+02,4.7269E-01
9.7219E+02,4.7817E-01
9.7060E+02,5.0049E-01
9.6902E+02,5.2592E-01
9.6744E+02,5.2457E-01
9.6586E+02,5.2992E-01
9.6429E+02,5.6273E-01
9.6272E+02,5.8368E-01
9.6116E+02,5.5754E-01
9.5961E+02,5.2744E-01
9.5806E+02,5.4644E-01
9.5651E+02,5.6006E-01
9.5497E+02,5.1371E-01
9.5344E+02,4.6555E-01
9.5191E+02,4.6557E-01
9.5038E+02,4.9500E-01
9.4886E+02,5.0687E-01
9.4735E+02,5.1374E-01
9.4583E+02,5.0666E-01
9.4433E+02,4.7911E-01
9.4283E+02,4.7150E-01
9.4133E+02,5.1354E-01
9.3984E+02,5.5785E-01
9.3835E+02,5.4479E-01
9.3687E+02,5.1320E-01
9.3539E+02,5.3505E-01
9.3392E+02,5.9191E-01
9.3245E+02,6.1255E-01
9.3099E+02,5.8334E-01
9.2953E+02,5.9428E-01
9.2807E+02,6.4960E-01
9.2662E+02,7.0590E-01
9.2518E+02,7.1361E-01
9.2374E+02,7.2258E-01
9.2230E+02,7.7772E-01
9.2087E+02,8.2583E-01
9.1944E+02,8.2754E-01
9.1802E+02,7.9515E-01
9.1660E+02,7.5511E-01
9.1518E+02,7.4740E-01
9.1377E+02,7.7900E-01
9.1237E+02,8.1323E-01
9.1231E+02,8.1361E-01
9.1218E+02,8.1411E-01
9.1204E+02,8.1386E-01
9.1190E+02,8.1281E-01
9.1176E+02,8.1098E-01
9.1162E+02,8.0836E-01
9.1148E+02,8.0500E-01
9.1134E+02,8.0093E-01
9.1120E+02,7.9624E-01
9.1106E+02,7.9100E-01
9.1097E+02,7.8698E-01
9.1093E+02,7.8531E-01
9.1079E+02,7.7926E-01
9.1065E+02,7.7297E-01
9.1051E+02,7.6654E-01
9.1037E+02,7.6008E-01
9.1023E+02,7.5370E-01
9.1009E+02,7.4749E-01
9.0996E+02,7.4156E-01
9.0982E+02,7.3599E-01
9.0968E+02,7.3085E-01
9.0957E+02,7.2709E-01
9.0954E+02,7.2620E-01
9.0940E+02,7.2212E-01
9.0926E+02,7.1863E-01
9.0913E+02,7.1578E-01
9.0899E+02,7.1360E-01
9.0885E+02,7.1209E-01
9.0871E+02,7.1128E-01
9.0857E+02,7.1115E-01
9.0844E+02,7.1168E-01
9.0830E+02,7.1287E-01
9.0818E+02,7.1444E-01
9.0816E+02,7.1467E-01
9.0802E+02,7.1703E-01
9.0788E+02,7.1991E-01
9.0775E+02,7.2323E-01
9.0761E+02,7.2692E-01
9.0747E+02,7.3090E-01
9.0733E+02,7.3509E-01
9.0720E+02,7.3940E-01
9.0706E+02,7.4374E-01
9.0692E+02,7.4803E-01
9.0679E+02,7.5210E-01
9.0678E+02,7.5220E-01
9.0665E+02,7.5617E-01
9.0651E+02,7.5989E-01
9.0637E+02,7.6331E-01
9.0623E+02,7.6641E-01
9.0610E+02,7.6917E-01
9.0596E+02,7.7158E-01
9.0582E+02,7.7367E-01
9.0568E+02,7.7544E-01
9.0555E+02,7.7693E-01
9.0541E+02,7.7818E-01
9.0540E+02,7.7825E-01
9.0527E+02,7.7922E-01
9.0514E+02,7.8008E-01
9.0500E+02,7.8081E-01
9.0486E+02,7.8141E-01
9.0473E+02,7.8191E-01
9.0459E+02,7.8231E-01
9.0445E+02,7.8262E-01
9.0432E+02,7.8281E-01
9.0418E+02,7.8288E-01
9.0404E+02,7.8279E-01
9.0402E+02,7.8276E-01
9.0391E+02,7.8251E-01
9.0377E+02,7.8203E-01
9.0363E+02,7.8131E-01
9.0350E+02,7.8034E-01
9.0336E+02,7.7912E-01
9.0322E+02,7.7764E-01
9.0309E+02,7.7592E-01
9.0295E+02,7.7399E-01
9.0281E+02,7.7189E-01
9.0268E+02,7.6967E-01
9.0265E+02,7.6914E-01
9.0254E+02,7.6740E-01
9.0241E+02,7.6513E-01
9.0227E+02,7.6293E-01
9.0213E+02,7.6088E-01
9.0200E+02,7.5904E-01
9.0186E+02,7.5747E-01
9.0173E+02,7.5621E-01
9.0159E+02,7.5530E-01
9.0145E+02,7.5477E-01
9.0132E+02,7.5463E-01
9.0127E+02,7.5467E-01
9.0118E+02,7.5488E-01
9.0105E+02,7.5550E-01
9.0091E+02,7.5646E-01
9.0078E+02,7.5774E-01
9.0064E+02,7.5929E-01
9.0050E+02,7.6108E-01
9.0037E+02,7.6304E-01
9.0023E+02,7.6513E-01
9.0010E+02,7.6731E-01
8.9996E+02,7.6955E-01
8.9991E+02,7.7045E-01
8.9983E+02,7.7179E-01
8.9969E+02,7.7401E-01
8.9956E+02,7.7619E-01
8.9942E+02,7.7830E-01
8.9929E+02,7.8034E-01
8.9915E+02,7.8229E-01
8.9902E+02,7.8414E-01
8.9888E+02,7.8590E-01
8.9875E+02,7.8757E-01
8.9861E+02,7.8915E-01
8.9854E+02,7.8990E-01
8.9848E+02,7.9065E-01
8.9834E+02,7.9207E-01
8.9821E+02,7.9342E-01
8.9807E+02,7.9471E-01
8.9794E+02,7.9595E-01
8.9780E+02,7.9715E-01
8.9767E+02,7.9831E-01
8.9753E+02,7.9943E-01
8.9740E+02,8.0053E-01
8.9726E+02,8.0160E-01
8.9718E+02,8.0223E-01
8.9713E+02,8.0264E-01
8.9699E+02,8.0365E-01
8.9686E+02,8.0461E-01
8.9672E+02,8.0551E-01
8.9659E+02,8.0633E-01
8.9646E+02,8.0705E-01
8.9632E+02,8.0765E-01
8.9619E+02,8.0809E-01
8.9605E+02,8.0835E-01
8.9592E+02,8.0841E-01
8.9583E+02,8.0833E-01
8.9578E+02,8.0826E-01
8.9565E+02,8.0787E-01
8.9552E+02,8.0725E-01
8.9538E+02,8.0642E-01
8.9525E+02,8.0538E-01
8.9511E+02,8.0419E-01
8.9498E+02,8.0289E-01
8.9485E+02,8.0155E-01
8.9471E+02,8.0024E-01
8.9458E+02,7.9906E-01
8.9448E+02,7.9830E-01
8.9444E+02,7.9809E-01
8.9431E+02,7.9743E-01
8.9418E+02,7.9717E-01
8.9404E+02,7.9740E-01
8.9391E+02,7.9820E-01
8.9378E+02,7.9961E-01
8.9364E+02,8.0168E-01
8.9351E+02,8.0443E-01
8.9338E+02,8.0784E-01
8.9324E+02,8.1189E-01
8.9313E+02,8.1576E-01
8.9311E+02,8.1651E-01
8.9298E+02,8.2161E-01
8.9284E+02,8.2709E-01
8.9271E+02,8.3282E-01
8.9258E+02,8.3866E-01
8.9244E+02,8.4447E-01
8.9231E+02,8.5009E-01
